時刻,路線,在線,遅延1分以上,遅延5分以上,遅延10分以上,最大遅延,遅延合計,1時間雨量,10分雨量,風速,気温,観測時刻,観測地点
06:02,hokurikubiwako,15,0,0,0,0,0,0.0,0.0,0.6,22.2,05:50,彦根/大津,,
06:02,kyoto,15,0,0,0,0,0,0.5,0.0,2.2,23.0,05:50,京都/大阪,,
06:02,nara,2,0,0,0,0,0,0.5,0.0,1.8,21.4,05:50,京都/京田辺,,
06:02,sagano,3,0,0,0,0,0,1.0,0.0,1.8,21.4,05:50,京都/園部,,
06:17,hokurikubiwako,14,0,0,0,0,0,0.0,0.0,1.7,22.1,06:10,彦根/大津,,
06:17,kyoto,23,0,0,0,0,0,0.5,0.0,2.3,22.8,06:10,京都/大阪,,
06:17,nara,4,0,0,0,0,0,0.5,0.0,2.3,21.3,06:10,京都/京田辺,,
06:17,sagano,4,0,0,0,0,0,0.5,0.0,2.3,21.3,06:10,京都/園部,,
06:30,hokurikubiwako,14,0,0,0,0,0,0.0,0.0,1.5,22.2,06:20,彦根/大津,,
06:30,kyoto,21,0,0,0,0,0,0.5,0.0,2.8,22.9,06:20,京都/大阪,,
06:30,nara,4,0,0,0,0,0,0.5,0.0,2.1,21.2,06:20,京都/京田辺,,
06:30,sagano,5,0,0,0,0,0,0.5,0.0,2.1,21.2,06:20,京都/園部,,
06:42,hokurikubiwako,16,0,0,0,0,0,0.0,0.0,0.9,22.3,06:30,彦根/大津,,
06:42,kyoto,22,0,0,0,0,0,0.5,0.0,3.2,23.0,06:30,京都/大阪,,
06:42,nara,6,0,0,0,0,0,0.5,0.0,1.5,21.3,06:30,京都/京田辺,,
06:42,sagano,8,0,0,0,0,0,0.5,0.0,1.5,21.3,06:30,京都/園部,,
